keys,en,fr
LAUNCHER_CONTACTING_WEB_SERVER,Contacting web server...,Contact vers le serveur web...
LAUNCHER_INIT_FAILED,Failed to init the downloader because {0},Échec de l'initialisation du téléchargeur car {0}
LAUNCHER_CHECKING,Checking files and versions...,Vérification des fichiers et des versions...
LAUNCHER_FILES_EMPTY,No files found on the web server.,Aucun fichier n'a été trouvé sur le serveur web.
LAUNCHER_DOWNLOAD_MISSING,Downloading missing files (0/{0})...,Téléchargement des fichiers manquants (0/{0})...
LAUNCHER_LOADING_PCK,Loading PCK Files...,Chargement des fichiers PCK...
LAUNCHER_LOAD_FAILED,Failed to load the app because {0},Impossible de charger l'application car {0}
LAUNCHER_DOWNLOAD_MESSAGE,Downloading {0} ({1}/{2}),Téléchargement de {0} ({1}/{2})
LAUNCHER_DOWNLOAD_FAILED,Failed to continue after file downloaded because {0},Impossible de continuer après le téléchargement du fichier car {0}
LAUNCHER_ERROR,Error,Erreur
